(-0.00326174,0.000375352)
(-0.0022039,0.000301604)
(-0.00077318,0.000160869)
(-0.000153381,7.69628e-05)
(0.000162347,9.1744e-07)
(0.000106241,5.16703e-05)
(-0.000916176,0.000315781)
(-0.0015228,0.000433689)
(-0.000583945,0.000209487)
(0.000305259,-3.51589e-07)
(0.000165251,-6.11113e-05)
(2.22343e-05,-0.000140745)
(0.000128669,-0.000114032)
(9.9033e-05,5.11399e-05)
(0.000386725,-6.54762e-05)
(0.000820655,-0.000439058)
(0.000306595,-0.000365636)
(-0.000968172,0.000283248)
(-0.00141935,0.000640807)
(-0.000522051,0.000238611)
(0.000358314,-0.000186515)
(-9.66362e-05,0.000131357)
(-0.00123865,0.000755551)
(-0.00134817,0.000739391)
(-0.000253713,9.60617e-05)
(0.000551165,-0.000404827)
(0.000254217,-0.000363786)
(-0.00032017,3.77253e-06)
(-0.000243025,0.000207515)
(0.000274976,-9.26987e-05)
(0.000433554,-0.000487616)
(0.000167084,-0.000380732)
(0.000173519,-0.000140133)
(0.000413018,-0.000287824)
(7.47321e-05,-0.00030783)
(-0.000643012,0.000245909)
(-0.000582584,0.000572456)
(0.000279396,-5.75928e-05)
(0.00060089,-0.000757655)
(-7.6874e-05,-0.000401437)
(-0.000602226,0.000390463)
(-0.000279932,0.000455337)
(7.78936e-05,0.000105159)
(-0.000114959,0.000152392)
(-0.000372372,0.000526488)
(-0.000370726,0.000792234)
(-0.00031267,0.000645693)
(-0.000314891,0.000191743)
(-0.000462972,0.000293598)
(-0.000763708,0.00120242)
(-0.000832216,0.00154113)
(-0.000530463,0.000643609)
(-0.00035588,2.14467e-05)
(-0.000405524,0.000416796)
(-0.0001561,0.000396526)
(0.000332894,-0.000559598)
(0.000425179,-0.00090818)
(-2.25909e-05,0.000217549)
(-0.000537129,0.00152132)
(-0.000618036,0.00135157)
(-0.000306481,0.000272195)
(-0.000193764,0.000275293)
(-0.000337847,0.000958412)
(-0.000215984,0.000498581)
(1.84747e-05,-0.000175175)
(-4.54278e-05,0.000241989)
(-0.000141158,0.00044893)
(-0.000116199,6.49538e-05)
(-0.000184074,0.000367441)
(-0.000206809,0.00090177)
(-3.54019e-05,0.000709851)
(7.62077e-05,0.000352306)
(6.20977e-05,1.72116e-05)
(7.69027e-05,-0.000485899)
(9.75224e-05,-0.00058335)
(6.00744e-05,-0.000176674)
(3.50874e-05,0.000298289)
(7.02734e-05,0.00084103)
(8.25096e-05,0.000955236)
(9.63207e-06,0.000103084)
(-3.5541e-05,-0.000574482)
(3.42261e-05,-0.000103196)
(6.90682e-05,0.000224469)
(-3.74744e-05,-0.000488541)
(-9.59422e-05,-0.000872708)
(4.51804e-05,-7.40888e-05)
(0.000173682,0.000554316)
(5.49478e-05,-7.4628e-06)
(-0.000103871,-0.000608513)
(6.37884e-05,0.000102647)
(0.000337992,0.00107423)
(0.00019059,0.0005098)
(-0.000164718,-0.000653678)
(-0.000112668,-0.000424036)
(0.000124859,0.000279403)
(1.60645e-05,-0.000162235)
(-0.000129746,-0.000447507)
(9.80015e-05,0.000585452)
(0.000303345,0.00123252)
(0.000159245,0.000527906)
(0.00012629,0.000115916)
(0.000558668,0.000939958)
(0.00078393,0.00148764)
(0.000233992,0.000630448)
(-0.000216782,-0.000203518)
(0.000274876,0.000411117)
(0.00097882,0.0013996)
(0.00091431,0.00122552)
(0.000287897,0.000262829)
(-1.18725e-06,-0.000130907)
(0.000478861,0.000519836)
(0.000933307,0.00109994)
(0.000459941,0.000499251)
(-0.000195424,-0.000267149)
(-1.88033e-05,2.85984e-05)
(0.000241677,0.000345338)
(-0.00030888,-0.000354966)
(-0.000936391,-0.00104884)
(-0.000631547,-0.000690907)
(0.00027523,0.000203125)
(0.000688458,0.00061314)
(0.000401994,0.000362554)
(0.000266055,0.000141365)
(0.000540946,0.000363602)
(0.000480804,0.000521325)
(-4.23718e-05,0.000209762)
(-0.000334318,-0.000171202)
(-0.000160247,-0.000178696)
(0.000262196,0.000118812)
(0.000711874,0.000406483)
(0.000698994,0.000378824)
(5.42786e-05,6.72753e-05)
(-0.000477576,-9.16992e-05)
(-0.000366454,4.40287e-05)
(-0.000136392,5.46225e-05)
(-0.00020566,-0.000162478)
(-0.000192226,-0.000197756)
(9.97799e-06,-2.62237e-05)
(-1.96127e-05,-3.05073e-05)
(-0.000110298,-0.000151297)
(8.58574e-05,-8.64158e-05)
(0.000115837,7.68037e-06)
(-0.000185485,-7.59975e-05)
(-0.000197149,-0.000126544)
(4.79784e-05,-5.72894e-05)
(-2.14082e-05,-6.34366e-05)
(-0.000272891,-0.000135241)
(-0.000123454,-9.08057e-05)
(0.000432037,3.55003e-05)
(0.000507732,4.18973e-05)
(-0.000376371,-9.50589e-05)
(-0.0010504,-0.000184868)
(-0.000439203,-0.000145384)
(0.000565312,-4.24292e-05)
(0.000934952,0.000126434)
(0.000924484,0.000259114)
(0.000708261,0.000162243)
(0.00025564,-1.67172e-05)
(-5.99264e-06,-2.07569e-05)
(-6.22262e-05,3.05555e-05)
(-0.000376809,-3.888e-06)
(-0.000753372,-2.09312e-05)
(-0.000573692,-2.32612e-05)
(-0.00012692,-7.92132e-05)
(-0.000257976,-1.76789e-05)
(-0.000722513,0.000220508)
(-0.000623531,0.000311911)
(-0.000285257,0.000188759)
(-0.000493539,0.000172051)
(-0.000731384,0.000243702)
(-0.000400426,0.000113199)
(9.15631e-05,-0.000115234)
(0.000540022,-0.00015767)
(0.000865763,-6.07852e-05)
(0.000617556,-3.57971e-05)
(4.7737e-05,-7.82556e-05)
(-0.000132828,-2.46233e-05)
(3.01201e-05,7.06848e-05)
(0.000135879,1.4222e-05)
(1.46052e-05,-7.33269e-05)
(-0.000314235,2.79642e-05)
(-0.000636874,0.000224606)
(-0.000741906,0.000353807)
(-0.00042011,0.000336757)
(0.000263161,0.000160694)
(0.000510388,5.24909e-05)
(2.53812e-05,0.000109142)
(-0.000133748,-2.14184e-05)
(0.000508438,-0.000462123)
(0.00104129,-0.000778341)
(0.000856041,-0.000655498)
(0.000264788,-0.000288471)
(-0.000246275,2.78172e-05)
(-0.00041443,0.000282825)
(-0.000458681,0.000589386)
(-0.000698373,0.000795925)
(-0.000723561,0.000594799)
(-0.000164964,9.58805e-05)
(0.000336604,-0.00022084)
(0.000241519,-0.000199767)
(3.97436e-06,-0.000116941)
(2.82318e-05,-0.000160863)
(5.76712e-05,-0.000176444)
(-8.91187e-05,4.61465e-05)
(-0.000222888,0.000382615)
(-0.000188941,0.000425768)
(-3.07686e-05,6.82282e-05)
(1.47768e-05,-0.00013903)
(-0.000135539,0.000106608)
(-0.000160772,0.000179696)
(4.00029e-05,-0.000207703)
(6.6951e-05,-0.000304516)
(-0.000160566,0.000206295)
(-0.000292584,0.000663831)
(-0.000288167,0.000667272)
(-0.000288278,0.000451741)
(-0.00021923,0.000331253)
(-7.15041e-05,0.000281267)
(9.93116e-05,-0.000128743)
(0.000251738,-0.000706836)
(0.000174328,-0.000494039)
(-0.000105352,0.000187663)
(-0.000101683,3.76066e-05)
(0.000248777,-0.000570038)
(0.000401839,-0.000522026)
(0.000238385,-0.000383857)
(0.000123387,-0.000717783)
(5.69881e-05,-0.000513292)
(-0.000123651,0.000408855)
(-0.000213526,0.000714308)
(-0.00014192,0.000383092)
(-0.000125631,0.00036833)
(-8.78321e-05,0.000239336)
(9.31085e-05,-0.000226923)
(0.000133189,4.51691e-05)
(-4.48065e-05,0.000686345)
(-0.000101622,0.000407478)
(-2.75251e-06,-2.73096e-05)
(-1.94021e-07,0.000181069)
(-6.16812e-05,-9.96553e-05)
(-4.06009e-05,-0.000960714)
(2.9791e-06,-0.000945742)
(-2.5424e-05,-0.000163311)
(-8.3304e-05,0.000125886)
(-5.73504e-05,7.82017e-06)
(3.81832e-05,0.000254914)
(3.57972e-05,0.000549867)
(-2.11246e-05,0.000322489)
(8.11392e-05,8.53842e-06)
(0.000143641,-5.00114e-05)
(-8.75801e-05,-0.000249156)
(-0.000187315,-0.000402097)
(0.000155465,4.13271e-06)
(0.000308034,0.000332443)
(-5.74548e-05,2.22673e-05)
(-0.000174305,-0.000130496)
(0.000301094,0.000291064)
(0.000520958,0.000454695)
(8.11946e-05,1.48903e-05)
(-0.000215461,-0.000241137)
(5.62837e-05,8.52026e-05)
(0.000240301,0.000363664)
(3.2412e-05,9.15024e-05)
(-6.43177e-05,-0.000323998)
(7.54594e-05,-0.000308849)
(4.89818e-05,-6.54509e-05)
(-0.000164659,-0.00015148)
(-0.000151472,-0.000308948)
(0.000194341,2.48139e-05)
(0.000358855,0.000261309)
(-6.97459e-05,-0.000379342)
(-0.000543776,-0.000971518)
(-0.000395291,-0.000514977)
(-2.78644e-05,9.05906e-05)
(-3.764e-05,-6.40002e-05)
(-0.000138474,-0.000330909)
(5.90494e-05,-9.58938e-05)
(0.000370278,0.000339086)
(0.000521106,0.00059087)
(0.000445459,0.000536258)
(0.000174892,0.000269241)
(-0.000144215,-2.60775e-05)
(-0.000120736,-0.000146222)
(0.000242478,-4.98108e-05)
(0.000198016,-0.000111327)
(-0.000453234,-0.000579799)
(-0.000700323,-0.00078574)
(-2.89154e-05,-0.000154287)
(0.000769646,0.000632679)
(0.000820497,0.000649827)
(4.09158e-05,2.28719e-05)
(-0.000685194,-0.0003969)
(-0.000491955,-0.000224758)
(3.52442e-05,-9.09792e-06)
(-3.58266e-05,-0.0001487)
(-0.000319435,-0.000215161)
(-0.000288216,-2.05093e-05)
(-0.000152219,6.5933e-06)
(-1.37177e-05,-0.000164441)
(4.21657e-05,-0.000186925)
(-9.82537e-05,-5.31066e-05)
(-2.39883e-05,7.08739e-05)
(0.000461081,0.000179169)
(0.000720063,0.000245294)
(0.000404179,0.00018261)
(-8.299e-05,1.94217e-05)
(-0.000562445,-0.00015362)
(-0.000932774,-0.000239025)
(-0.00062004,-0.000130901)
(0.000204428,7.55494e-05)
(0.000312112,0.000109536)
(-0.000232942,-1.70981e-05)
(-0.000166743,-5.0032e-05)
(0.000202675,-1.19448e-05)
(-4.29866e-05,-3.73625e-05)
(-0.000267132,-1.4111e-05)
(-0.000134132,7.71855e-05)
(-0.000408729,1.8964e-05)
(-0.000844615,-0.000154194)
(-0.000811677,-0.00014999)
(-0.000688828,1.64064e-05)
(-0.000635077,4.8152e-05)
(-0.000221754,-8.27205e-05)
(0.000256902,-0.000129934)
(0.000246446,-3.30694e-05)
(-9.3656e-06,4.39639e-05)
(-1.00059e-05,4.68102e-05)
(0.000148062,4.19132e-05)
(-3.07251e-05,6.68697e-05)
(-0.000764046,0.000157958)
(-0.00147125,0.000277321)
(-0.00125318,0.000237645)
(-0.000289363,4.20192e-05)
(0.000241234,-4.0468e-05)
(0.000138508,7.30043e-06)
(0.000193772,-2.08931e-05)
(0.000140211,3.42664e-06)
(-0.000582382,0.000242878)
(-0.00102765,0.000368967)
(-0.000433598,0.000154171)
(0.000152104,-3.98887e-05)
(-1.0216e-05,7.67014e-06)
(-0.000226106,7.59278e-05)
(-0.000125517,8.30119e-05)
(-3.77483e-05,9.05302e-05)
(-9.56452e-05,0.000100652)
(-0.000434371,0.000252706)
(-0.000816673,0.00044063)
(-0.000469977,0.000257442)
(0.000174527,-1.1814e-05)
(6.47397e-05,8.23541e-05)
(-0.00018107,5.89374e-05)
(0.000118946,-0.000210953)
(4.34213e-05,3.853e-06)
(-0.000572104,0.000529707)
(-0.000638448,0.000527117)
(-5.08244e-05,6.3604e-05)
(0.00039175,-0.000282401)
(0.000197434,-0.000106274)
(-0.000565428,0.000608527)
(-0.00113946,0.0011149)
(-0.0010806,0.00096103)
(-0.000953965,0.00081633)
(-0.00100095,0.000988584)
(-0.000726516,0.000840287)
(-0.000204321,0.000312634)
(0.000109259,-3.25719e-05)
(0.000271679,-0.000203499)
(0.000458248,-0.000456108)
(0.000417546,-0.000406156)
(5.70067e-05,6.3956e-05)
(-0.000126926,0.000153486)
(0.000164252,-0.000394585)
(0.000443178,-0.000726597)
(0.000358077,-0.000633429)
(0.000212703,-0.000705269)
(0.00015052,-0.000762158)
(3.10912e-05,-0.000403123)
(-0.000122385,0.000101714)
(-0.000193293,0.00043157)
(-0.000142954,0.000470794)
(-0.000103756,0.000349191)
(-0.000261485,0.000511923)
(-0.000383402,0.000719497)
(-0.000173737,0.000395712)
(2.61972e-05,9.6803e-05)
(-2.26853e-05,0.00021789)
(6.04963e-05,-7.4331e-05)
(0.000262842,-0.000608486)
(0.000177986,-0.000363797)
(-2.77784e-05,0.000173709)
(-4.59173e-05,0.000220023)
(-3.94273e-05,0.000342966)
(-0.000122759,0.000807015)
(-0.000108216,0.000720343)
